Time,Weight
DR,2
DR,1.9
DR,2.1
DR,2
DR,2.4
DR,NA
DR,NA
DR,NA
DR,NA
DR,NA
DR,NA
DR,2.2
DR,2
DR,1.9
DR,2
DR,2.1
DR,1.8
DR,NA
DR,NA
DR,NA
DR,NA
DR,NA
DR,NA
DR,NA
DR,2.36
DR,1.8
DR,NA
DR,2.2
DR,2
Ad lib,2.1
Ad lib,2.3
Ad lib,2
Ad lib,2.3
Ad lib,2
Ad lib,2.5
Ad lib,2.2
Ad lib,2.2
Ad lib,2.4
Ad lib,1.9
Ad lib,2.4
Ad lib,2.1
Ad lib,2
Ad lib,1.9
Ad lib,2.1
Ad lib,2
Ad lib,1.9
Ad lib,1.9
Ad lib,2.1
Ad lib,2
Ad lib,2.2
Ad lib,2.2
Ad lib,2
Ad lib,2.2
Ad lib,2.4
Ad lib,2.4
Ad lib,2.2
Ad lib,1.9
Ad lib,2.5
Ad lib,3.1
Ad lib,3.3
Ad lib,3.6
