ID,MaternalID,Maternal.Mass,Treatment,Egg_Number,Ovi_Date,Status,Status2,Day,Week ,Egg_Mass,Classification,Survival,Hatch Date,Tail,Sex (L),Sex ,Incubation,SVL,Mass,Relative.Egg,Relative.Mass,Relative.SVL
0001/3-101,F0001/3,2.4,Autotomy,101,8/20/2018,High,Investment,13,0,0.173,Pre,1,9/28/2018,30.9,M,1,39,18.2,0.148,0.072083333,0.061666667,7.583333333
0001/3-112,F0001/3,2.4,Autotomy,112,8/22/2018,High,Investment,15,2,0.165,Post,1,10/5/2018,32.1,M,1,44,18,0.169,0.06875,0.070416667,7.5
0001/3-143,F0001/3,2.4,Autotomy,143,9/3/2018,High,Investment,27,2,0.215,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.089583333,NA,NA
0001/3-156,F0001/3,1.9,Autotomy,156,9/10/2018,Low,Recovery,34,4,0.167,Post,0,NA,NA,NA,NA,NA,NA,NA,0.087894737,NA,NA
0001/3-64,F0001/3,2.4,Autotomy,64,8/8/2018,,,1,0,0.168,Pre,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA
0001/3-79,F0001/3,2.4,Autotomy,79,8/13/2018,,,6,0,0.179,Pre,1,9/21/2018,25.1,F,0,39,14.6,0.083,0.074583333,0.034583333,6.083333333
0002-99,F0002,2.2,Autotomy,99,8/20/2018,High,Investment,13,0,0.14,Pre,1,9/30/2018,29.5,M,1,41,17.8,0.145,0.063636364,0.065909091,8.090909091
0002-124,F0002,2.2,Autotomy,124,8/27/2018,High,Investment,20,2,0.129,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.058636364,NA,NA
0002-199,F0002,1.9,Autotomy,199,9/28/2018,Low,Recovery,50,6,0.15,Post,0,NA,NA,NA,NA,NA,NA,NA,0.078947368,NA,NA
0002-76,F0002,2.2,Autotomy,76,8/13/2018,,,6,0,0.124,Pre,1,9/27/2018,29.6,M,1,45,17.3,0.153,0.056363636,0.069545455,7.863636364
0020-98,F0020,2,Autotomy,98,8/20/2018,High,Investment,13,0,0.127,Pre,0,NA,NA,NA,NA,NA,NA,NA,0.0635,NA,NA
0020-117,F0020,2,Autotomy,117,8/24/2018,High,Investment,17,2,0.155,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.0775,NA,NA
0020-138,F0020,2,Autotomy,138,8/31/2018,High,Investment,24,2,0.187,Post,1,10/11/2018,27.8,M,1,41,18.1,0.158,0.0935,0.079,9.05
0020-148,F0020,1.9,Autotomy,148,9/5/2018,Low,Recovery,29,4,0.172,Post,0,NA,NA,NA,NA,NA,NA,NA,0.090526316,NA,NA
0020-160,F0020,1.9,Autotomy,160,9/12/2018,Low,Recovery,36,4,0.198,Post,0,NA,NA,NA,NA,NA,NA,NA,0.104210526,NA,NA
0020-181,F0020,1.9,Autotomy,181,9/17/2018,Low,Recovery,41,4,0.185,Post,1,10/29/2018,33.52,M,1,42,17.5,0.189,0.097368421,0.099473684,9.210526316
0020-72,F0020,2,Autotomy,72,8/13/2018,,,6,0,0.178,Pre,1,9/23/2018,31.1,F,0,41,18,0.151,0.089,0.0755,9
0221/3-85,F0221/3,1.9,Autotomy,85,8/15/2018,High,Investment,8,0,0.18,Pre,1,9/29/2018,31.8,F,0,45,18.5,0.176,0.094736842,0.092631579,9.736842105
0221/3-97,F0221/3,1.9,Autotomy,97,8/20/2018,High,Investment,13,0,0.167,Pre,0,NA,NA,NA,NA,NA,NA,NA,0.087894737,NA,NA
0221/3-169,F0221/3,1.9,Autotomy,169,9/14/2018,Low,Recovery,38,4,0.183,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.096315789,NA,NA
0221/3-196,F0221/3,1.9,Autotomy,196,9/26/2018,Low,Recovery,48,6,0.163,Post,0,NA,NA,NA,NA,NA,NA,NA,0.085789474,NA,NA
0300-93,F0300,2,Autotomy,93,8/20/2018,High,Investment,13,0,0.171,Pre,1,9/30/2018,31.1,F,0,41,17.9,0.158,0.0855,0.079,8.95
0300-121,F0300,2,Autotomy,121,8/27/2018,High,Investment,20,2,0.148,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.074,NA,NA
0300-154,F0300,1.9,Autotomy,154,9/10/2018,Low,Recovery,34,4,0.166,Post,0,NA,NA,NA,NA,NA,NA,NA,0.087368421,NA,NA
0300-176,F0300,1.9,Autotomy,176,9/17/2018,Low,Recovery,41,4,0.159,Post,1,11/2/2018,26.13,F,0,46,18.01,0.16,0.083684211,0.084210526,9.478947368
0300-197,F0300,1.9,Autotomy,197,9/28/2018,Low,Recovery,50,6,0.15,Post,1,11/7/2018,31.32,M,1,40,18.04,0.162,0.078947368,0.085263158,9.494736842
0300-214,F0300,1.8,Autotomy,214,10/5/2018,Low,Recovery,57,8,0.124,Post,0,NA,NA,NA,NA,NA,NA,NA,0.068888889,NA,NA
0300-228,F0300,1.8,Autotomy,228,10/14/2018,Low,Recovery,66,8,0.134,Post,1,11/16/2018,28.78,F,0,33,18.09,0.144,0.074444444,0.08,10.05
0300-66,F0300,2,Autotomy,66,8/10/2018,,,3,0,0.167,Pre,1,9/21/2018,28.3,M,1,42,18.1,0.142,0.0835,0.071,9.05
0502-91,F0502,2.1,Autotomy,91,8/20/2018,High,Investment,13,0,0.138,Pre,1,9/30/2018,27.4,M,1,41,17.3,0.154,0.065714286,0.073333333,8.238095238
0502-116,F0502,2.1,Autotomy,116,8/24/2018,High,Investment,17,2,0.174,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.082857143,NA,NA
0502-146,F0502,1.8,Autotomy,146,9/5/2018,Low,Recovery,29,4,0.146,Post,0,NA,NA,NA,NA,NA,NA,NA,0.081111111,NA,NA
0502-168,F0502,1.8,Autotomy,168,9/14/2018,Low,Recovery,38,4,0.121,Post,0,NA,NA,NA,NA,NA,NA,NA,0.067222222,NA,NA
0502-189,F0502,1.8,Autotomy,189,9/24/2018,Low,Recovery,46,6,0.16,Post,1,11/4/2018,28.22,F,0,41,18.42,0.192,0.088888889,0.106666667,10.23333333
0502-200,F0502,1.71,Autotomy,200,10/3/2018,Low,Recovery,55,8,0.166,Post,1,11/11/2018,30.63,F,0,39,18.45,0.154,0.097076023,0.09005848,10.78947368
0502-215,F0502,1.71,Autotomy,215,10/8/2018,Low,Recovery,60,8,0.144,Post,0,NA,NA,NA,NA,NA,NA,NA,0.084210526,NA,NA
0502-73,F0502,2.1,Autotomy,73,8/13/2018,,,6,0,0.192,Pre,1,9/21/2018,30.6,F,0,39,18.1,0.155,0.091428571,0.073809524,8.619047619
1/2/5105-94,F1/2/5105,2.2,Autotomy,94,8/20/2018,High,Investment,13,0,0.17,Pre,1,9/29/2018,29.3,F,0,40,17.4,0.177,0.077272727,0.080454545,7.909090909
1/2/5105-122,F1/2/5105,2.2,Autotomy,122,8/27/2018,High,Investment,20,2,0.198,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA
1/2/5105-191,F1/2/5105,2,Autotomy,191,9/24/2018,Low,Recovery,46,6,0.174,Post,1,11/4/2018,31.15,F,0,41,18.8,0.167,0.087,0.0835,9.4
1/2/5105-217,F1/2/5105,2.2,Autotomy,217,10/8/2018,Low,Recovery,60,8,0.191,Post,0,NA,NA,NA,NA,NA,NA,NA,0.086818182,NA,NA
1/2/5105-75,F1/2/5105,2.2,Autotomy,75,8/13/2018,,,6,0,0.228,Pre,1,9/25/2018,26.9,F,0,43,18,0.174,0.103636364,0.079090909,8.181818182
1/201/21/2/3-147,F1/201/21/2/3,1.9,Autotomy,147,9/5/2018,Low,Recovery,29,4,0.156,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.082105263,NA,NA
1/201/21/2/3-209,F1/201/21/2/3,1.8,Autotomy,209,10/3/2018,Low,Recovery,55,8,0.206,Post,1,11/11/2018,29.81,M,1,39,19.29,0.201,0.114444444,0.111666667,10.71666667
1000-87,F1000,2,Autotomy,87,8/17/2018,High,Investment,10,0,0.155,Pre,1,10/2/2018,31.9,M,1,46,18.4,0.159,0.0775,0.0795,9.2
1000-104,F1000,2,Autotomy,104,8/22/2018,High,Investment,15,2,0.158,Post,1,10/8/2018,29,M,1,47,16.6,0.132,0.079,0.066,8.3
1000-152,F1000,2,Autotomy,152,9/10/2018,Low,Recovery,34,4,0.189,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.0945,NA,NA
1000-62,F1000,2,Autotomy,62,8/8/2018,,,1,0,0.163,Pre,NA,NA,NA,NA,NA,NA,NA,NA,0.0815,NA,NA
1151/3-84,F1151/3,2.2,Autotomy,84,8/15/2018,High,Investment,8,0,0.144,Pre,1,9/26/2018,27.6,F,0,42,16.7,0.106,0.065454545,0.048181818,7.590909091
1151/3-109,F1151/3,2.2,Autotomy,109,8/22/2018,High,Investment,15,2,0.187,Post,1,9/18/2018,28.6,F,0,NA,17.2,0.117,0.085,0.053181818,7.818181818
1151/3-115,F1151/3,2.2,Autotomy,115,8/22/2018,High,Investment,15,2,0.153,Post,1,10/1/2018,29.3,F,0,40,17.3,0.133,0.069545455,0.060454545,7.863636364
1151/3-128,F1151/3,2.2,Autotomy,128,8/27/2018,High,Investment,20,2,0.199,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.090454545,NA,NA
1151/3-172,F1151/3,1.9,Autotomy,172,9/14/2018,Low,Recovery,38,4,0.184,Post,0,NA,NA,NA,NA,NA,NA,NA,0.096842105,NA,NA
2/5131-83,F2/5131,2.5,Autotomy,83,8/15/2018,High,Investment,8,0,0.172,Pre,1,9/23/2018,26,M,1,39,17.6,0.129,0.0688,0.0516,7.04
2/5131-130,F2/5131,2.5,Autotomy,130,8/29/2018,High,Investment,22,2,0.142,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.0568,NA,NA
2/5131-158,F2/5131,2.3,Autotomy,158,9/12/2018,Low,Recovery,36,4,0.168,Post,0,NA,NA,NA,NA,NA,NA,NA,0.073043478,NA,NA
