ID,Treatment,Status,Day,Week,Time,Initial Mass,Mat_Mass,Egg_Number,Repro,Sex.sum,Sex.sum.SE,Survival,Survival.SE,Survival.sum,Survival.sum.SE,RegLength,Regeneration,Incubation,Incubation.SE,Mass,Relative.Mass,Rel.Egg.Mass,Rel.Init.Mass,Mass.SE,Sex,Sex.SE,SVL,SVL.SE,SVL.sum,SVL.sum.SE,Mass.sum,Mass.sum.SE,Egg_Mass,Egg_Mass.SE,Investment,Investment.SE,Egg_Mass.sum,Egg_Mass.sum.SE,Mat_SVL,Perc.WL,Age.Pred
F0001/3,Autotomy,Exclude,0,0,,2.2,2.1,2,1,1,0.5,1,0,2,0,0,0,39,0,0.1155,0.055,0.083809524,5.25,0.0325,0.5,0.5,16.4,1.8,32.8,1.8,0.231,0.0325,0.176,0.0036,0.352,0.0036,0.352,0.003,40.5,,1
F0002,Autotomy,Exclude,0,0,,2.5,2.5,2,1,2,0,1,0,2,0,0,0,43,2,0.149,0.0596,0.0528,5.96,0.004,1,0,17.55,0.25,35.1,0.25,0.298,0.004,0.132,0.008,0.264,0.008,0.264,0.008,48.8,,2
F0020,Autotomy,Exclude,0,0,,1.7,2.2,1,1,0,NA,0.5,0.5,1,0.5,0,0,41,NA,0.151,0.068636364,0.080909091,8.882352941,NA,0,NA,18,NA,18,NA,0.151,NA,0.178,NA,0.178,NA,0.178,NA,44.5,,1
F0151/3,Autotomy,Exclude,0,0,,1.9,NA,1,1,1,NA,1,NA,1,NA,0,0,39,NA,0.152,#VALUE!,#VALUE!,8,NA,1,NA,16.3,NA,16.3,NA,0.152,NA,0.182,NA,0.182,NA,0.182,NA,NA,,
F0300,Autotomy,Exclude,0,0,,2.4,NA,2,1,1,0.5,1,0,2,0,0,0,41.5,0.5,0.15,#VALUE!,#VALUE!,6.25,0.008,0.5,0.5,18,0.1,36,0.1,0.3,0.008,0.169,0.002,0.338,0.002,0.338,0.002,NA,,
F0502,Autotomy,Exclude,0,0,,2.1,NA,2,1,1,0.5,1,0,2,0,0,0,40,1,0.1545,#VALUE!,#VALUE!,7.357142857,0.0005,0.5,0.5,17.7,0.4,35.4,0.4,0.309,0.0005,0.165,0.027,0.33,0.027,0.33,0.027,NA,,
F1/2/5105,Autotomy,Exclude,0,0,,2.2,NA,2,1,0,0,1,0,2,0,0,0,41.5,1.5,0.1755,#VALUE!,#VALUE!,7.977272727,0.0015,0,0,17.7,0.3,35.4,0.3,0.351,0.0015,0.199,0.029,0.398,0.029,0.398,0.029,NA,,
F1/201/21/2/3,Autotomy,Exclude,0,0,,2.1,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F1000,Autotomy,Exclude,0,0,,2,2.2,1,1,1,NA,1,NA,1,NA,0,0,46,NA,0.159,0.072272727,0.070454545,7.95,NA,1,NA,18.4,NA,18.4,NA,0.159,NA,0.155,NA,0.155,NA,0.155,NA,43.7,,1
F1151/3,Autotomy,Exclude,0,0,,2,1.7,1,1,0,NA,1,NA,1,NA,0,0,42,NA,0.106,0.062352941,0.084705882,5.3,NA,0,NA,16.7,NA,16.7,NA,0.106,NA,0.144,NA,0.144,NA,0.144,NA,43.4,,1
F3030,Autotomy,Exclude,0,0,,1.8,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,,
F3131,Autotomy,Exclude,0,0,,2,1.83,2,1,1,0.5,1,0,2,0,0,0,39.5,0.5,0.174,0.095081967,0.108196721,8.7,0,0.5,0.5,19.6,0.1,39.2,0.1,0.348,0,0.198,0.004,0.396,0.004,0.396,0.004,45.45,,1
F3453,Autotomy,Exclude,0,0,,1.4,1.6,1,1,0,NA,1,NA,1,NA,0,0,46,NA,0.141,0.088125,0.09125,10.07142857,NA,0,NA,18.4,NA,18.4,NA,0.141,NA,0.146,NA,0.146,NA,0.146,NA,44.73,,1
F4100,Autotomy,Exclude,0,0,,2.1,2.2,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,41.25,,1
F5301,Autotomy,Exclude,0,0,,1.7,1.95,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,38.97,,1
F0005,Control,Exclude,0,0,,2.2,2.4,2,1,1,0.5,1,0,2,0,0,0,40.5,1.5,0.1545,0.064375,0.079583333,7.022727273,0.0015,0.5,0.5,17.7,0.2,35.4,0.2,0.309,0.0015,0.191,0.008,0.382,0.008,0.382,0.008,42.8,,1
F0010,Control,Exclude,0,0,,2,2,1,1,0,NA,1,NA,1,NA,0,0,40,NA,0.184,0.092,0.0895,9.2,NA,0,NA,19.1,NA,19.1,NA,0.184,NA,0.179,NA,0.179,NA,0.179,NA,40.6,,1
F0050,Control,Exclude,0,0,,2.2,2.4,1,1,1,NA,1,NA,1,NA,0,0,38,NA,0.144,0.06,0.094166667,6.545454545,NA,1,NA,16.3,NA,16.3,NA,0.144,NA,0.226,NA,0.226,NA,0.226,NA,41.5,,1
